base_year,year,indicator,revision,industry,subindustry,institutional_sector,current_price,constant_price,unit,revision_rank,inflation_effect
2011-12,2011-12,Change in Stock,Additional Revision,,,,207983.1878,207983.1878,₹ Crore,1,0.0
2011-12,2011-12,Consumption of Fixed Capital,Additional Revision,,,General Government,98622.87164,,₹ Crore,1,
2011-12,2011-12,Consumption of Fixed Capital,Additional Revision,,,Households Including NPISH,326425.2103,,₹ Crore,1,
2011-12,2011-12,Consumption of Fixed Capital,Additional Revision,,,Private Financial Corporations,3620.413821,,₹ Crore,1,
2011-12,2011-12,Consumption of Fixed Capital,Additional Revision,,,Private Non-Financial Corporations,354019.0919,,₹ Crore,1,
2011-12,2011-12,Consumption of Fixed Capital,Additional Revision,,,Public Financial Corporations,3207.084959,,₹ Crore,1,
2011-12,2011-12,Consumption of Fixed Capital,Additional Revision,,,Public Non-Financial Corporations,131280.2682,,₹ Crore,1,
2011-12,2011-12,Consumption of Fixed Capital,Additional Revision,,,,917174.9408,917174.9408,₹ Crore,1,0.0
2011-12,2011-12,Export of Goods and Services,Additional Revision,,,,2143931.0,2143931.0,₹ Crore,1,0.0
2011-12,2011-12,Government Final Consumption Expenditure,Additional Revision,,,,968375.0,968375.0,₹ Crore,1,0.0
2011-12,2011-12,Gross Capital Formation by Industry of Use,Additional Revision,"Agriculture, Livestock, Forestry and Fishing",Crops,,234399.5544,234399.5544,₹ Crore,1,0.0
2011-12,2011-12,Gross Capital Formation by Industry of Use,Additional Revision,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,11763.27696,11763.27696,₹ Crore,1,0.0
2011-12,2011-12,Gross Capital Formation by Industry of Use,Additional Revision,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,2154.73243,2154.73243,₹ Crore,1,0.0
2011-12,2011-12,Gross Capital Formation by Industry of Use,Additional Revision,"Agriculture, Livestock, Forestry and Fishing",Livestock,,25552.50839,25552.50839,₹ Crore,1,0.0
